"taxonID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","datasetID","taxonomicStatus","taxonRank","scientificName","family","genus","specificEpithet","infraspecificEpithet","nameAccordingTo","namePublishedIn","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","dcterms:references","source","scientificNameID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","namePublishedInYear","higherClassification","kingdom","phylum","class","order","subgenus","verbatimTaxonRank","scientificNameAuthorship","vernacularName","canonicalName","subfamily","reason"
"138720","110640",NA,NA,NA,"accepted","subspecies","Ctenophthalmus agyrtes bosnicus Wagner, 1930","Hystrichopsyllidae","Ctenophthalmus","agyrtes","bosnicus",NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Ctenophthalmus agyrtes bosnicus",NA,"duplicate"
"138580","111210",NA,NA,NA,"accepted","subspecies","Ctenophthalmus bifidatus mancus Beaucournu & Ohran, 1986","Hystrichopsyllidae","Ctenophthalmus","bifidatus","mancus",NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Ctenophthalmus bifidatus mancus",NA,"duplicate"
"138590","113280",NA,NA,NA,"accepted","subspecies","Ctenophthalmus costai libanensis Lewis, 1970","Hystrichopsyllidae","Ctenophthalmus","costai","libanensis",NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Ctenophthalmus costai libanensis",NA,"duplicate"
"138800","134230",NA,NA,NA,"accepted","subspecies","Frontopsylla megasinus acutus Li Kueichen & Chen Ningui, 1974","Leptopsyllidae","Frontopsylla","megasinus","acutus",NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Frontopsylla megasinus acutus",NA,"duplicate"
"138810","134350",NA,NA,NA,"accepted","subspecies","Frontopsylla spadix cansa Rothschild, 1932","Leptopsyllidae","Frontopsylla","spadix","cansa",NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Frontopsylla spadix cansa",NA,"duplicate"
"138760","127050",NA,NA,NA,"accepted","subspecies","Megabothris clantoni johnsoni Hubbard, 1949","Ceratophyllidae","Megabothris","clantoni","johnsoni",NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Megabothris clantoni johnsoni",NA,"duplicate"
"138770","127050",NA,NA,NA,"accepted","subspecies","Megabothris clantoni princei Hubbard, 1949","Ceratophyllidae","Megabothris","clantoni","princei",NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Megabothris clantoni princei",NA,"duplicate"
"138690","127570",NA,NA,NA,"accepted","subspecies","Myoxopsylla laverani traubi Lewis, 1966","Ceratophyllidae","Myoxopsylla","laverani","traubi",NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Myoxopsylla laverani traubi",NA,"duplicate"
"138530","x5W",NA,NA,NA,"accepted","species","Neopsylla marleaneae Lewis, 1971","Hystrichopsyllidae","Neopsylla","marleaneae",NA,NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Neopsylla marleaneae",NA,"duplicate"
"138700","x5Y",NA,NA,NA,"accepted","species","Nosopsyllus ziarus Klein, 1963","Ceratophyllidae","Nosopsyllus","ziarus",NA,NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Nosopsyllus ziarus",NA,"duplicate"
"138710","x6J",NA,NA,NA,"accepted","species","Parapsyllus heardi De Meillon, 1952","Rhopalopsyllidae","Parapsyllus","heardi",NA,NA,NA,"ICZN",NA,NA,NA,"CoL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,NA,"Parapsyllus heardi",NA,"duplicate"
