"TPTdataset","TPTID","in petra's list"
"FMNH",324,"yes"
"FMNH",34,"yes"
"FMNH",42,"yes"
"FMNH",46,"yes"
"FMNH",64,"yes"
"FMNH",67,"yes"
"FMNH",69,"yes"
"FMNH",80,"yes"
"FMNH",100,"yes"
"FMNH",102,"yes"
"FMNH",111,"yes"
"FMNH",116,"yes"
"FMNH",119,"yes"
"FMNH",141,"yes"
"FMNH",150,"yes"
"FMNH",156,"yes"
"FMNH",168,"yes"
"FMNH",179,"yes"
"FMNH",192,"yes"
"FMNH",202,"yes"
"FMNH",221,"yes"
"FMNH",232,"yes"
"FMNH",236,"yes"
"FMNH",243,"yes"
"FMNH",245,"yes"
"FMNH",247,"yes"
"FMNH",255,"yes"
"FMNH",258,"yes"
"FMNH",265,"yes"
"FMNH",270,"yes"
"FMNH",284,"yes"
"FMNH",293,NA
"FMNH",300,"yes"
"FMNH",304,"yes"
"FMNH",307,"yes"
"FMNH",314,"yes"
"FMNH",318,"yes"
"FMNH",1,"yes"
"FMNH",2,NA
"FMNH",3,NA
"FMNH",4,"yes"
"FMNH",5,NA
"FMNH",6,"yes"
"FMNH",7,"yes"
"FMNH",8,"yes"
"FMNH",9,"yes"
"FMNH",10,"yes"
"FMNH",11,"yes"
"FMNH",12,"yes"
"FMNH",13,"yes"
"FMNH",14,"yes"
"FMNH",15,"yes"
"FMNH",16,"yes"
"FMNH",17,"yes"
"FMNH",18,"yes"
"FMNH",19,"yes"
"FMNH",20,"yes"
"FMNH",21,"yes"
"FMNH",22,"yes"
"FMNH",23,"yes"
"FMNH",24,"yes"
"FMNH",25,"yes"
"FMNH",26,NA
"FMNH",27,"yes"
"FMNH",28,"yes"
"FMNH",29,NA
"FMNH",30,NA
"FMNH",31,NA
"FMNH",32,"yes"
"FMNH",33,"yes"
"FMNH",35,"yes"
"FMNH",36,"yes"
"FMNH",37,"yes"
"FMNH",38,"yes"
"FMNH",39,"yes"
"FMNH",40,"yes"
"FMNH",41,"yes"
"FMNH",43,"yes"
"FMNH",44,"yes"
"FMNH",45,"yes"
"FMNH",47,"yes"
"FMNH",48,"yes"
"FMNH",49,"yes"
"FMNH",50,"yes"
"FMNH",51,"yes"
"FMNH",52,"yes"
"FMNH",53,NA
"FMNH",54,"yes"
"FMNH",55,"yes"
"FMNH",56,"yes"
"FMNH",57,"yes"
"FMNH",58,"yes"
"FMNH",59,"yes"
"FMNH",60,"yes"
"FMNH",61,"yes"
"FMNH",62,"yes"
"FMNH",63,"yes"
"FMNH",65,"yes"
"FMNH",66,"yes"
"FMNH",68,"yes"
"FMNH",70,"yes"
"FMNH",71,"yes"
"FMNH",72,"yes"
"FMNH",73,"yes"
"FMNH",74,"yes"
"FMNH",75,"yes"
"FMNH",76,"yes"
"FMNH",77,NA
"FMNH",78,"yes"
"FMNH",79,"yes"
"FMNH",81,"yes"
"FMNH",82,"yes"
"FMNH",83,"yes"
"FMNH",84,"yes"
"FMNH",85,"yes"
"FMNH",86,"yes"
"FMNH",87,"yes"
"FMNH",88,"yes"
"FMNH",89,NA
"FMNH",90,"yes"
"FMNH",91,"yes"
"FMNH",92,"yes"
"FMNH",93,"yes"
"FMNH",94,"yes"
"FMNH",95,"yes"
"FMNH",96,"yes"
"FMNH",97,"yes"
"FMNH",98,"yes"
"FMNH",99,"yes"
"FMNH",101,"yes"
"FMNH",103,"yes"
"FMNH",104,"yes"
"FMNH",105,"yes"
"FMNH",106,"yes"
"FMNH",107,"yes"
"FMNH",108,"yes"
"FMNH",109,"yes"
"FMNH",110,"yes"
"FMNH",112,"yes"
"FMNH",113,"yes"
"FMNH",114,NA
"FMNH",115,"yes"
"FMNH",117,"yes"
"FMNH",118,"yes"
"FMNH",120,"yes"
"FMNH",121,"yes"
"FMNH",122,"yes"
"FMNH",123,"yes"
"FMNH",124,"yes"
"FMNH",125,"yes"
"FMNH",126,"yes"
"FMNH",127,"yes"
"FMNH",128,"yes"
"FMNH",129,"yes"
"FMNH",130,"yes"
"FMNH",131,"yes"
"FMNH",132,"yes"
"FMNH",133,"yes"
"FMNH",134,"yes"
"FMNH",135,"yes"
"FMNH",136,"yes"
"FMNH",137,"yes"
"FMNH",138,"yes"
"FMNH",139,"yes"
"FMNH",140,"yes"
"FMNH",142,"yes"
"FMNH",143,"yes"
"FMNH",144,"yes"
"FMNH",145,"yes"
"FMNH",146,"yes"
"FMNH",147,"yes"
"FMNH",148,"yes"
"FMNH",149,"yes"
"FMNH",151,"yes"
"FMNH",152,"yes"
"FMNH",153,"yes"
"FMNH",154,"yes"
"FMNH",155,"yes"
"FMNH",157,"yes"
"FMNH",158,"yes"
"FMNH",159,NA
"FMNH",160,"yes"
"FMNH",161,"yes"
"FMNH",162,"yes"
"FMNH",163,NA
"FMNH",164,"yes"
"FMNH",165,"yes"
"FMNH",166,"yes"
"FMNH",167,"yes"
"FMNH",169,"yes"
"FMNH",170,"yes"
"FMNH",171,"yes"
"FMNH",172,"yes"
"FMNH",173,"yes"
"FMNH",174,"yes"
"FMNH",175,"yes"
"FMNH",176,"yes"
"FMNH",177,"yes"
"FMNH",178,"yes"
"FMNH",180,"yes"
"FMNH",181,"yes"
"FMNH",182,"yes"
"FMNH",183,"yes"
"FMNH",184,"yes"
"FMNH",185,"yes"
"FMNH",186,"yes"
"FMNH",187,"yes"
"FMNH",188,"yes"
"FMNH",189,"yes"
"FMNH",190,"yes"
"FMNH",191,NA
"FMNH",193,"yes"
"FMNH",194,"yes"
"FMNH",195,"yes"
"FMNH",196,"yes"
"FMNH",197,"yes"
"FMNH",198,"yes"
"FMNH",199,"yes"
"FMNH",200,"yes"
"FMNH",201,"yes"
"FMNH",203,"yes"
"FMNH",204,"yes"
"FMNH",205,"yes"
"FMNH",206,"yes"
"FMNH",207,"yes"
"FMNH",208,"yes"
"FMNH",209,"yes"
"FMNH",210,"yes"
"FMNH",211,"yes"
"FMNH",212,"yes"
"FMNH",213,"yes"
"FMNH",214,"yes"
"FMNH",215,"yes"
"FMNH",216,"yes"
"FMNH",217,"yes"
"FMNH",218,"yes"
"FMNH",219,"yes"
"FMNH",220,"yes"
"FMNH",222,"yes"
"FMNH",223,"yes"
"FMNH",224,"yes"
"FMNH",225,"yes"
"FMNH",226,"yes"
"FMNH",227,"yes"
"FMNH",228,"yes"
"FMNH",229,"yes"
"FMNH",230,"yes"
"FMNH",231,"yes"
"FMNH",233,"yes"
"FMNH",234,"yes"
"FMNH",235,"yes"
"FMNH",237,"yes"
"FMNH",238,"yes"
"FMNH",239,NA
"FMNH",240,"yes"
"FMNH",241,"yes"
"FMNH",242,"yes"
"FMNH",244,"yes"
"FMNH",246,"yes"
"FMNH",248,"yes"
"FMNH",249,"yes"
"FMNH",250,NA
"FMNH",251,"yes"
"FMNH",252,"yes"
"FMNH",253,"yes"
"FMNH",254,"yes"
"FMNH",256,"yes"
"FMNH",257,"yes"
"FMNH",259,"yes"
"FMNH",260,"yes"
"FMNH",261,"yes"
"FMNH",262,"yes"
"FMNH",263,"yes"
"FMNH",264,"yes"
"FMNH",266,"yes"
"FMNH",267,"yes"
"FMNH",268,"yes"
"FMNH",269,"yes"
"FMNH",271,"yes"
"FMNH",272,"yes"
"FMNH",273,"yes"
"FMNH",274,"yes"
"FMNH",275,"yes"
"FMNH",276,"yes"
"FMNH",277,"yes"
"FMNH",278,"yes"
"FMNH",279,"yes"
"FMNH",280,"yes"
"FMNH",281,"yes"
"FMNH",282,"yes"
"FMNH",283,"yes"
"FMNH",285,NA
"FMNH",286,NA
"FMNH",287,NA
"FMNH",288,NA
"FMNH",289,"yes"
"FMNH",290,NA
"FMNH",291,NA
"FMNH",292,NA
"FMNH",294,"yes"
"FMNH",295,"yes"
"FMNH",296,"yes"
"FMNH",297,"yes"
"FMNH",298,"yes"
"FMNH",299,"yes"
"FMNH",301,NA
"FMNH",302,NA
"FMNH",303,"yes"
"FMNH",305,"yes"
"FMNH",306,"yes"
"FMNH",308,"yes"
"FMNH",309,"yes"
"FMNH",310,"yes"
"FMNH",311,NA
"FMNH",312,"yes"
"FMNH",313,"yes"
"FMNH",315,"yes"
"FMNH",316,"yes"
"FMNH",317,NA
"FMNH",319,NA
"FMNH",320,NA
"FMNH",321,"yes"
"FMNH",322,"yes"
"FMNH",323,"yes"
